Time	Accel_1	Accel_2	Accel_3	Angle	Temp_1	Temp_2	Temp_3	PG_1	PG_2	PG_3	Lim_2	Lim_3	Lim_1	Internal_Temp	F_Names	F_Values	Prediction
1	8298	8190	8148	8947	0	0	115	4124	890	3710	5794	2030	0	26.85	Var_Accel1	4.867	4
2	8308	8189	8163	8948	0	0	224	3515	1134	0	3575	1278	0	26.85	Var_Accel2	13.073	15.000
3	8296	8261	8121	8948	0	1	362	2941	1542	0	2220	781	0	26.85	Var_Accel3	41.924	15.000
4	8315	8229	8135	8948	0	1	523	2562	2174	0	1388	454	0	26.85	Mean_of_PG1	330.539	0.000
5	8318	8274	8144	8947	0	2	693	2349	2823	0	870	234	0	26.85	Mean_of_PG2	6304.292	34.375
6	8296	8266	8165	8948	3	5	870	2245	3322	0	561	90	0	26.85	Var_of_PG1	12282.292	35.625
7	8294	8238	8165	8947	14	11	1054	2193	3723	0	407	23	0	26.85	Var_of_PG2	1014935.813	25.000
8	8291	8195	8181	8948	37	24	1237	2129	4251	0	326	29	0	26.85	Slope_of_Angle	556147.063	
9	8286	8195	8170	8948	74	48	1432	2055	4894	2368	331	189	0	26.85	Sum_Diff_Press	23223072.0	
10	8297	8196	8170	8948	127	88	1627	1959	5503	6326	436	467	0	26.85	Temp_Diff_Var	2177.0	
11	8306	8165	8166	8950	207	146	1841	1846	6004	7709	551	745	0	26.85	F11	-17180516.0	
12	8311	8189	8173	8950	338	225	2087	1717	6376	9414	1306	1052	0	26.85	F12	1554.378	
13	8303	8197	8160	8950	530	355	2382	1570	6768	11686	1403	1524	0	26.85	F13	8253.5	
14	8298	8214	8151	8948	774	555	2734	1444	7152	15822	1226	3549	0	26.85	F14	23.0	
15	8298	8228	8140	8949	1056	808	3123	1348	7527	16263	1133	2759	0	26.85	F15	24.0	
16	8309	8218	8150	8948	1367	1102	3533	1295	7859	16382	1074	2000	0	26.85	F16	25.0	
17	8309	8221	8150	8947	1700	1427	3960	1289	8123	16373	1029	1595	0	26.85	F17	26.0	
18	8308	8227	8155	8949	2052	1776	4398	1474	8080	16358	470	1317	0	26.85	F18	27.0	
