Time	Accel_1	Accel_2	Accel_3	Angle	Temp_1	Temp_2	Temp_3	PG_1	PG_2	PG_3	Lim_2	Lim_3	Lim_1	Internal_Temp	F_Names	F_Values	Prediction
1	8294	8202	8109	2213	0	0	115	580	3670	757	4846	1309	0	27.11	Var_Accel1	3.428	4
2	8300	8309	8109	2213	0	0	223	955	3033	0	2916	817	0	27.11	Var_Accel2	6.431	5.000
3	8346	8207	8130	2213	0	1	363	1539	2530	0	1780	494	0	27.11	Var_Accel3	32.586	20.000
4	8300	8249	8152	2212	0	2	522	2228	2242	0	1108	273	0	27.11	Mean_of_PG1	5640.123	0.000
5	8277	8207	8188	2211	0	4	693	2743	2106	0	718	123	0	27.11	Mean_of_PG2	345.794	35.000
6	8271	8194	8187	2213	8	7	870	2998	2050	0	501	31	0	27.11	Var_of_PG1	13829.535	40.000
7	8275	8210	8155	2213	24	15	1051	3361	2002	0	396	8	0	27.11	Var_of_PG2	463533.219	25.000
8	8297	8202	8151	2212	54	32	1243	4014	1948	0	357	60	0	27.11	Slope_of_Angle	980846.313	
9	8297	8254	8149	2213	99	63	1434	4695	1866	5540	472	294	0	27.11	Sum_Diff_Press	6181024.5	
10	8314	8233	8148	2213	163	110	1634	5198	1769	6774	630	580	0	27.11	Temp_Diff_Var	-2344.0	
11	8313	8238	8153	2213	262	177	1858	5538	1651	8134	774	843	0	27.11	F11	15226489.0	
12	8304	8202	8157	2214	427	268	2125	5859	1536	9780	1810	1139	0	27.11	F12	1150.885	
13	8282	8199	8170	2212	651	429	2456	6251	1379	16383	1569	3154	0	27.11	F13	7505.5	
14	8282	8185	8180	2213	916	655	2823	6655	1253	15681	1458	3175	0	27.11	F14	23.0	
15	8289	8190	8171	2213	1216	930	3225	7027	1165	16383	1402	2187	0	27.11	F15	24.0	
16	8298	8193	8168	2213	1541	1241	3649	7342	1146	16378	1350	1695	0	27.11	F16	25.0	
17	8302	8207	8178	2214	1886	1583	4084	7583	1204	16360	1265	1375	0	27.11	F17	26.0	
18	8290	8224	8177	2214	2245	1945	4527	7496	1446	16344	2186	1205	0	27.11	F18	27.0	
19	8315	8209	8199	2226	2607	2320	4979	6626	1693	16339	1829	1097	0	27.11			
20	8643	8180	8080	2226	2967	2684	5447	4811	2042	16334	1595	1022	0	27.11			
21	8228	8143	8162	2240	3329	3034	5955	3810	3243	16334	1400	968	0	27.11			
22	8152	8194	7931	2252	3696	3398	6494	4089	3735	16338	1306	931	0	27.11			
23	8450	8187	8003	2267	4073	3815	7023	4178	3836	16346	1218	903	0	27.11			
24	8384	8186	8089	2284	4446	4294	7524	4031	3701	16350	321	859	0	27.11			
25	8220	8197	8037	2293	4813	4711	8011	3805	3589	16354	688	840	0	27.11			
26	8259	8297	8045	2298	5177	5088	8491	3583	3390	16355	843	827	0	27.11			
27	8354	8194	7969	2306	5529	5455	8966	3307	3178	16354	913	819	0	27.11			
