Time	Accel_1	Accel_2	Accel_3	Angle	Temp_1	Temp_2	Temp_3	PG_1	PG_2	PG_3	Lim_2	Lim_3	Lim_1	Internal_Temp	F_Names	F_Values	Prediction
1	8318	8173	8137	7487	0	0	116	647	4380	3594	4982	1864	0	24.73	Var_Accel1	8.839	3
2	8283	8213	8141	7486	0	0	229	1068	3678	0	3008	1168	0	24.73	Var_Accel2	14.965	0.000
3	8277	8203	8135	7488	0	0	371	1742	3097	0	1828	708	0	24.73	Var_Accel3	108.451	15.000
4	8269	8202	8145	7486	0	0	531	2561	2746	0	1136	403	0	24.73	Mean_of_PG1	6471.688	0.000
5	8275	8223	8169	7487	0	0	704	3127	2577	0	728	200	0	24.73	Mean_of_PG2	369.562	50.000
6	8304	8245	8181	7487	0	0	883	3377	2497	0	477	64	0	24.73	Var_of_PG1	14659.863	35.000
7	8320	8248	8180	7488	0	0	1064	3825	2440	0	324	4	0	24.73	Var_of_PG2	576134.625	25.000
8	8345	8241	8191	7488	0	1	1244	4569	2349	0	239	0	0	24.73	Slope_of_Angle	1240527.625	
9	8334	8239	8187	7485	2	2	1425	5280	2217	0	206	0	0	24.73	Sum_Diff_Press	12455772.0	
10	8291	8211	8202	7487	8	5	1612	5790	2060	0	217	0	0	24.73	Temp_Diff_Var	-2205.0	
11	8275	8216	8188	7488	22	11	1799	6196	1898	0	266	0	0	24.73	F11	17549718.0	
12	8274	8199	8178	7488	50	26	2001	6631	1731	3184	396	108	0	24.73	F12	1468.677	
13	8302	8193	8166	7487	92	54	2195	7092	1584	6546	595	405	0	24.73	F13	8346.0	
14	8324	8213	8148	7487	152	99	2390	7497	1462	7876	779	703	0	24.73	F14	23.0	
15	8317	8207	8152	7490	247	161	2613	7848	1375	9405	933	976	0	24.73	F15	24.0	
16	8307	8216	8156	7485	402	249	2903	8196	1346	11381	1988	1345	0	24.73	F16	25.0	
17	8293	8244	8154	7490	614	398	3230	8506	1298	16041	1726	3431	0	24.73	F17	26.0	
18	8294	8225	8162	7487	872	615	3598	8736	1301	16224	1567	2764	0	24.73	F18	27.0	
19	8301	8248	8150	7489	1164	880	3989	8726	1369	16381	1467	1970	0	24.73			
20	8308	8239	8149	7485	1481	1182	4397	8391	1565	16366	2313	1586	0	24.73			
21	8302	8248	8214	7485	1818	1514	4817	7042	1797	16352	1924	1339	0	24.73			
22	8563	8213	7802	7486	2171	1869	5246	4644	2288	16338	1668	1178	0	24.73			
23	8538	8210	7720	7497	2532	2237	5688	4045	3552	16331	1446	1072	0	24.73			
24	8252	8122	7939	7514	2891	2607	6166	4494	3896	16326	1332	997	0	24.73			
25	8203	8245	8022	7530	3247	2956	6671	4411	3969	16316	867	934	0	24.73			
26	8247	8292	8033	7553	3608	3307	7188	4230	3881	16313	485	879	0	24.73			
27	8312	8134	8098	7568	3973	3699	7687	4027	3715	16314	801	853	0	24.73			
28	8314	8161	8279	7580	4341	4161	8170	3739	3525	16305	907	836	0	24.73			
29	8185	8183	8118	7595	4701	4586	8635	3440	3298	16301	958	827	0	24.73			
30	8357	8137	8305	7608	5054	4961	9092	3175	3087	16298	985	822	0	24.73			
31	8265	8226	8198	7621	5403	5322	9540	3038	2936	16295	996	818	0	24.73			
32	8390	8088	8244	7628	5742	5676	9982	2975	2913	16291	977	812	0	24.73			
33	8290	8224	8214	7637	6074	6021	10410	3065	2931	16283	943	806	0	24.73			
34	8254	8202	8157	7652	6399	6358	10832	3138	2982	16277	915	798	0	24.73			
35	8317	8270	8288	7660	6716	6686	11231	3204	2999	16273	979	798	0	24.73			
36	8267	8329	8219	7664	7025	7007	11605	3305	3053	16271	1122	801	0	24.73			
37	8266	8281	8269	7676	7326	7315	11948	3435	3149	16273	1439	815	0	24.73			
38	8271	8287	8273	7686	7612	7616	12283	3548	3236	16275	1634	831	0	24.73			
39	8293	8240	8264	7691	7891	7908	12631	3592	3288	16273	1368	833	0	24.73			
